prompt,intent
How many tickets are booked under the reference 06B046?,RETRIEVE_PASSENGER_INFO
Can you give me the passenger ID for ticket number 9880005432000989?,RETRIEVE_PASSENGER_INFO
Which passengers are traveling together under the same booking reference?,RETRIEVE_PASSENGER_INFO
What car rental options are available in Basel?,FIND_CAR_RENTAL_OPTIONS
Can I book a luxury car from Avis in Basel from April 10 to April 20?,FIND_CAR_RENTAL_OPTIONS
What's the price tier for Hertz rentals in Zurich?,FIND_CAR_RENTAL_OPTIONS
Are there any SUV rentals available in Bern around April 20?,FIND_CAR_RENTAL_OPTIONS
What's the most common fare condition for tickets on flight 30625?,ANALYZE_BOOKING_PATTERNS
How does the average ticket price vary between different fare conditions?,ANALYZE_BOOKING_PATTERNS
Which car rental company has the most bookings in our database?,ANALYZE_BOOKING_PATTERNS
Can you show me the trend of car rental bookings across different locations?,ANALYZE_BOOKING_PATTERNS
What luxury hotels are available in Basel?,FIND_HOTEL_OPTIONS
Can I book a room at the Marriott Zurich from April 14 to April 21?,FIND_HOTEL_OPTIONS
What's the price tier for Radisson Blu in Lucerne?,FIND_HOTEL_OPTIONS
Are there any upper midscale hotels available in Bern?,FIND_HOTEL_OPTIONS
Is the Hilton Basel available for booking on April 22?,CHECK_HOTEL_AVAILABILITY
What's the checkout date for the reservation at Hyatt Regency Basel?,CHECK_HOTEL_AVAILABILITY
Are there any hotels in Zurich with availability in mid-April?,CHECK_HOTEL_AVAILABILITY
Can you tell me if Best Western Bern is fully booked for April?,CHECK_HOTEL_AVAILABILITY
What are some historical landmarks to visit in Basel?,GET_TRIP_RECOMMENDATIONS
Can you recommend any art museums in Basel?,GET_TRIP_RECOMMENDATIONS
What are the must-see attractions in Zurich's Old Town?,GET_TRIP_RECOMMENDATIONS
Are there any wildlife-related activities in Bern?,GET_TRIP_RECOMMENDATIONS
Can you suggest a day trip in Lucerne that includes the Chapel Bridge?,PLAN_ITINERARY
What's a good itinerary for art lovers visiting Basel?,PLAN_ITINERARY
How can I combine a visit to the Bern Bear Park with other attractions?,PLAN_ITINERARY
What's the best way to experience both historical and modern attractions in Zurich?,PLAN_ITINERARY
